"","Year","Month","Census.FIPS","FIPS.county","FIPS.state","ProjectTitle","Address","City","State","Zipcode","County","Type","Ownership","Strys","SqFt","Value1000","Dwellings","sizegroup"
"332","2009","03","16001",1,16,"The Aspens Office (TI)","851 W Front St","Boise","ID","83702","ADA, ID","Offices_1-3_stories","private",0,0,270,0,"Small"
"333","2009","03","16001",1,16,"Hendrickson Fine Jewelry Store","Glenwood - No of Chinden","Garden City","ID","83714","ADA, ID","Stores","private",1,3500,200,0,"Small"
"334","2009","02","16001",1,16,"American Fiber (TI)","350 N Mitchell St","Boise","ID","83704","ADA, ID","Offices_1-3_stories","private",0,0,622,0,"Small"
"335","2009","10","16001",1,16,"Grace at Englefield Green Assisted Living Facility","350 Allumbaugh St","Boise","ID","83704","ADA, ID","Apartments_5+_Units_1-3_Stories","private",1,1e+05,7500,85,"Large"
"336","2008","08","16001",1,16,"Office Building (Alteration)","10322 W Ustick Rd","Ada County","ID","","ADA, ID","Offices_1-3_stories","private",0,0,75,0,"Small"
"337","2008","07","16001",1,16,"Retail Building (Alteration)","720 E Park Blvd","Boise","ID","83712","ADA, ID","Stores","private",0,0,363,0,"Small"
"338","2008","09","16001",1,16,"Office Building (Addition)","2130 W Franklin Rd","Meridian","ID","83642","ADA, ID","Offices_1-3_stories","private",1,2000,156,0,"Small"
"339","2009","01","16001",1,16,"St Lukes (TI)","100 E Idaho St","Boise","ID","83712","ADA, ID","Hospitals","private",0,0,225,0,"Small"
"340","2008","07","16001",1,16,"Dentist Office Building (Alteration)","790 W Ustick Rd Ste 110","Meridian","ID","83642","ADA, ID","Clinics_Nursing_Convalescent_Facilities","private",0,0,167,0,"Small"
"341","2008","11","16001",1,16,"New Kuna Alternative School","Site to be announced","Kuna","ID","83634","ADA, ID","Senior_High_Schools","county",1,17400,2217,0,"Small"
"342","2009","04","16001",1,16,"Roman Catholic Diocese Priest Retirement Apartment","4450 N Five Mile Rd","Boise","ID","83713","ADA, ID","Apartments_5+_Units_1-3_Stories","private",1,16000,1085,18,"Small"
"343","2008","07","16001",1,16,"Apartment Building (Alteration)","1510 N 13th St Ste 200","Boise","ID","83702","ADA, ID","Apartments_Alterations_Stories_Unknown","private",0,0,75,0,"Small"
"344","2008","08","16001",1,16,"Office Building (Alteration)","250 E Parkcenter Blvd Lot 8","Ada County","ID","","ADA, ID","Offices_1-3_stories","private",0,0,118,0,"Small"
"345","2009","04","16001",1,16,"Whitney Fire Station #17","3801 S Cole Rd","Boise","ID","83709","ADA, ID","Police_Fire_Stations","county",2,12500,1640,0,"Small"
"346","2008","09","16001",1,16,"Office","1650 S Meridian Rd","Meridian","ID","83642","ADA, ID","Offices_1-3_stories","private",1,12900,980,0,"Small"
"347","2009","09","16001",1,16,"Apartment Building","4336/4348/4354 & 4360 N Five","Boise","ID","","ADA, ID","Apartments_3_or_4_Units","private",2,6400,320,4,"Small"
"348","2008","02","16001",1,16,"Office Building","10681 W McMillan Rd","Boise","ID","83713","ADA, ID","Offices_1-3_stories","private",1,1200,95,0,"Small"
"349","2008","03","16001",1,16,"Rocky Mountain LDS Seminary - LDS Church-","1335 W Cayuse Creek Drive","Meridian","ID","83642","ADA, ID","Houses_of_Worship_Other_Religious_Bldgs","private",1,3500,438,0,"Small"
"350","2008","09","16001",1,16,"Kuna High School Gym / Auditorium Additions","637 E Deer Flat Rd","Kuna","ID","83634","ADA, ID","Gyms_Field_Houses_Indoor_Pools","county",1,27300,4705,0,"Medium"
"351","2008","07","16001",1,16,"Retail Building (Alteration)","350 N Milwaukee St","Boise","ID","83704","ADA, ID","Stores","private",0,0,88,0,"Small"
"352","2008","01","16001",1,16,"Office Building","1902 W Judith Ln","Boise","ID","","ADA, ID","Offices_1-3_stories","private",1,6100,486,0,"Small"
"353","2009","04","16001",1,16,"Home Federal Drive-Thru Bank - Baldcypress Branch","3630 N Eagle Rd","Boise","ID","83713","ADA, ID","Banks_Financial_1-3_stories","private",1,4100,650,0,"Small"
"354","2008","12","16001",1,16,"Veterinary Shell","3220 N Meridian Rd","Meridian","ID","83642","ADA, ID","Animal_Fish_Plant_Facilities","private",1,3000,249,0,"Small"
"355","2008","04","16001",1,16,"Warehouse (Alteration)","625 S Stratford Dr Ste 200","Meridian","ID","83642","ADA, ID","Warehouses_Non-Refrigerated","private",0,0,242,0,"Small"
"356","2009","12","16001",1,16,"Intermountain Gas Service Center (TI)","1937 S Bonito Way","Meridian","ID","83642","ADA, ID","Offices_1-3_stories","private",0,0,1120,0,"Small"
"357","2008","11","16001",1,16,"Idaho State Veterans Home Building Renovations","320 Collins Rd","Boise","ID","83702","ADA, ID","Clinics_Nursing_Convalescent_Facilities","state",0,0,595,0,"Small"
"358","2009","01","16001",1,16,"Library","3531 E Overland Rd","Meridian","ID","83642","ADA, ID","Libraries","private",1,900,120,0,"Small"
"359","2009","02","16001",1,16,"NCO Officers Club Renovation / Bldg 710","Gowen Field","Boise","ID","83705","ADA, ID","Clubs_and_Lodges","state",0,0,200,0,"Small"
"360","2008","09","16001",1,16,"Boise State Univ - Varsity Center Ticket Offices Remodel","1190 University Dr","Boise","ID","83706","ADA, ID","Offices_1-3_stories","state",0,0,159,0,"Small"
"361","2008","12","16001",1,16,"WinCo Distribution Center (NEGOTIATED)","Eisenman Road","Boise","ID","83705","ADA, ID","Refrigerated_Warehouses","private",1,7e+05,49000,0,"XXLarge"
"362","2008","03","16001",1,16,"Crescent Rim Condominiums Bldg 1-2-3-4 (NEGOTIATED)","3115 W Kipling","Boise","ID","83713","ADA, ID","Apartments_5+_Units_4+_Stories","private",4,219100,27099,79,"Large"
"363","2009","01","16001",1,16,"Office Building","1265 S Capitol Blvd","Boise","ID","","ADA, ID","Offices_1-3_stories","private",1,1800,140,0,"Small"
"364","2009","04","16001",1,16,"East Jr. High School Concessions Stand","5600 Warm Springs Ave","Boise","ID","83716","ADA, ID","Food_Beverage_Service","county",1,900,200,0,"Small"
"365","2009","09","16001",1,16,"College (Alteration)","2150 E Fairview Ave Ste 150","Meridian","ID","83642","ADA, ID","Colleges_Universities_Except_Community","private",0,0,210,0,"Small"
"366","2008","06","16001",1,16,"Meridian (ID) Wal-Mart Store #2862-106 (REMODEL)","405 E Fairview Ave","Meridian","ID","83642","ADA, ID","Stores","private",0,0,3000,0,"Small"
"367","2008","01","16001",1,16,"Office Building-Alteration","250 E Parkcenter Blvd","Boise","ID","83706","ADA, ID","Offices_1-3_stories","private",0,0,283,0,"Small"
"368","2008","08","16001",1,16,"Doctors Office Building (Alteration)","1545 E Leigh Field Dr Ste 125","Meridian","ID","83642","ADA, ID","Clinics_Nursing_Convalescent_Facilities","private",0,0,286,0,"Small"
"369","2009","06","16001",1,16,"Marriott Courttyard Hotel Interior Remnodel","222 Broadway Ave","Boise","ID","83702","ADA, ID","Hotels_Motels_Stories_Unknown_or_Alts","private",0,0,440,0,"Small"
"370","2008","04","16001",1,16,"Bonefish Grill (Boise ID)","855 Broad St Ste 225","Boise","ID","83702","ADA, ID","Food_Beverage_Service","private",0,0,750,0,"Small"
"371","2008","06","16001",1,16,"Federal Way 7200 Inline Shops","3575 S Findley Ave","Boise","ID","83707","ADA, ID","Shopping_Centers","private",1,7200,540,0,"Small"
"372","2009","01","16001",1,16,"Office Building (Alteration)","702 W Idaho St 9th Floor","Boise","ID","83702","ADA, ID","Offices_1-3_stories","private",0,0,100,0,"Small"
"373","2008","02","16001",1,16,"Grains of Montana Restaurant TI","1505 South Eagle Ste 190","Meridian","ID","","ADA, ID","Food_Beverage_Service","private",0,0,300,0,"Small"
"374","2008","05","16001",1,16,"Office Building (Alteration)","2758 S Featherly Way","Boise","ID","","ADA, ID","Offices_1-3_stories","private",0,0,250,0,"Small"
"375","2008","12","16001",1,16,"Boise City Main Library Exterior Entry Remodel","715 S Capitol Blvd","Boise","ID","83702","ADA, ID","Libraries","county",0,0,118,0,"Small"
"376","2008","07","16001",1,16,"Office Building","1449 S David Ln","Boise","ID","83705","ADA, ID","Offices_1-3_stories","private",2,2900,289,0,"Small"
"377","2009","02","16001",1,16,"Veterinary Hospital (Alteration)","3220 N Meridian Rd","Meridian","ID","83642","ADA, ID","Animal_Fish_Plant_Facilities","private",0,0,137,0,"Small"
"378","2008","02","16001",1,16,"Bank of the Cascades (Kuna Branch)","840 E Avalon","Kuna","ID","83634","ADA, ID","Banks_Financial_1-3_stories","private",1,2500,300,0,"Small"
"379","2009","08","16001",1,16,"IDADIV Credit Union @ Meridian","Meridian Road & Coporate Dr","Meridian","ID","83642","ADA, ID","Banks_Financial_1-3_stories","private",1,4000,400,0,"Small"
"380","2009","12","16001",1,16,"Jimmy Johns (Alteration) Southwest Corner","598 W MAIN ST","Boise","ID","83702","ADA, ID","Food_Beverage_Service","private",0,0,110,0,"Small"
"381","2008","05","16001",1,16,"Boise West Branch Public Library","7557 West Ustick Rd","Boise","ID","83704","ADA, ID","Libraries","county",1,15300,3387,0,"Small"
"382","2009","01","16001",1,16,"Office Building","1675 S Maple Grove Rd","Boise","ID","83709","ADA, ID","Offices_1-3_stories","private",1,2100,165,0,"Small"
"383","2009","04","16001",1,16,"Boise WinCo Store #6 (Addition/Remodel) (NEGOTIATED)","Fairview & Milwaukie","Boise","ID","83707","ADA, ID","Stores","private",1,28700,2300,0,"Medium"
"384","2008","10","16001",1,16,"Idaho Central Credit Union ((NEGOTIATED)","6707 W Overland Rd","Boise","ID","83709","ADA, ID","Banks_Financial_1-3_stories","private",1,5600,400,0,"Small"
"385","2008","10","16001",1,16,"Microsoft Office (TI) (NEGOTIATED)","401 W Front St","Boise","ID","83702","ADA, ID","Offices_1-3_stories","private",0,0,3500,0,"Small"
"386","2009","07","16001",1,16,"Office Building (Alteration)","3405 E Overland Rd Ste 150","Meridian","ID","83642","ADA, ID","Offices_1-3_stories","private",0,0,356,0,"Small"
"387","2009","02","16001",1,16,"Saltzer Medical Group (TI) @ Portico","Louse Drive","Meridian","ID","83642","ADA, ID","Clinics_Nursing_Convalescent_Facilities","private",0,0,200,0,"Small"
"388","2008","09","16001",1,16,"The North 36th St Townhomes (2 units)","3823 N 36th St","Boise","ID","83703","ADA, ID","Apartments_3_or_4_Units","private",2,4000,300,4,"Small"
"389","2008","01","16001",1,16,"St. Alphonsus Regional Medi Cntr(Remdel/Alts)","1055 N Curtis Rd","Boise","ID","83706","ADA, ID","Hospitals","private",0,0,2855,0,"Small"
"390","2008","08","16001",1,16,"Restaurant (Alteration)","6350 N Discovery Wy Lot 1","Ada County","ID","","ADA, ID","Food_Beverage_Service","private",0,0,84,0,"Small"
"391","2009","05","16001",1,16,"Office Building","10159 W Overland Rd","Boise","ID","83709","ADA, ID","Offices_1-3_stories","private",1,6000,500,0,"Small"
"392","2008","02","16001",1,16,"Retail Building (Alteration)","8125 W Fairview Ave","Boise","ID","83704","ADA, ID","Stores","private",0,0,135,0,"Small"
"393","2008","05","16001",1,16,"Office Building","9196 W Emerald St 135","Boise","ID","83704","ADA, ID","Offices_1-3_stories","private",1,2000,125,0,"Small"
"394","2008","03","16001",1,16,"Restaurant (Addition)","400 W Overland Rd","Meridian","ID","83642","ADA, ID","Food_Beverage_Service","private",1,1900,200,0,"Small"
"395","2009","01","16001",1,16,"Eagle Island Retail Bldg K","W. Flint Street &","Eagle","ID","83616","ADA, ID","Stores","private",1,3900,280,0,"Small"
"396","2009","05","16001",1,16,"Hospice (Addition)","1965 S EAGLE RD STE 100","Meridian","ID","83642","ADA, ID","Clinics_Nursing_Convalescent_Facilities","private",1,1500,146,0,"Small"
"397","2008","04","16001",1,16,"Apollo College Classroom and Office Bldg","1200 N Liberty St","Boise","ID","83704","ADA, ID","Colleges_Universities_Except_Community","private",2,24800,2400,0,"Small"
"398","2008","03","16001",1,16,"Boise New Hope Church of Nazarene (Addition)","8585 W Overland Rd","Boise","ID","83709","ADA, ID","Houses_of_Worship_Other_Religious_Bldgs","private",1,10200,1000,0,"Small"
"399","2008","10","16001",1,16,"Aircraft Sales/Service (Alteration)","4300 S Kennedy St","Boise","ID","83705","ADA, ID","Aircraft_Service","private",0,0,357,0,"Small"
"400","2009","06","16001",1,16,"LHTAC Office Building","3330 Grace St","Boise","ID","83703","ADA, ID","Offices_1-3_stories","private",2,5800,600,0,"Small"
"401","2008","08","16001",1,16,"Storage Building Gowen Rd (NEGOTIATED)","Gowen Rd","Boise","ID","83221","ADA, ID","Warehouses_Non-Refrigerated","private",1,25000,750,0,"Small"
"402","2008","08","16001",1,16,"Storage Building Targee Rd (NEGOTIATED)","Targee Rd","Boise","ID","83221","ADA, ID","Warehouses_Non-Refrigerated","private",1,25000,750,0,"Small"
"403","2008","04","16001",1,16,"Restaurant (Alteration)","3030 E Overland Rd","Meridian","ID","83642","ADA, ID","Food_Beverage_Service","private",0,0,80,0,"Small"
"404","2009","02","16001",1,16,"Fitness Gym (Alteration)","3371 N Eagle Rd Ste 130","Meridian","ID","83642","ADA, ID","Gyms_Field_Houses_Indoor_Pools","private",0,0,107,0,"Small"
"405","2008","11","16001",1,16,"Office Building","2584 N Stokesbury Pl","Meridian","ID","83646","ADA, ID","Offices_1-3_stories","private",1,2800,220,0,"Small"
"406","2009","11","16001",1,16,"Office Building","743 N Touchmark Ave","Meridian","ID","83642","ADA, ID","Offices_1-3_stories","private",1,11300,896,0,"Small"
"407","2008","08","16001",1,16,"Bakery (Alteration)","830 N Main St Ste 101","Meridian","ID","83642","ADA, ID","Food_Beverage_Service","private",0,0,295,0,"Small"
"408","2008","06","16001",1,16,"Storage Building","658 N Principle Pl","Meridian","ID","83642","ADA, ID","Warehouses_Non-Refrigerated","private",1,12100,495,0,"Small"
"409","2009","01","16001",1,16,"Office Building (Alteration)","8783 W Hackamore Dr","Boise","ID","83709","ADA, ID","Offices_1-3_stories","private",0,0,166,0,"Small"
"410","2008","04","16001",1,16,"Office Building (Alteration)","2264 S Bonito Way Ste 110","Meridian","ID","83642","ADA, ID","Offices_1-3_stories","private",0,0,275,0,"Small"
"411","2008","02","16001",1,16,"Restaurant Building","3450 N Eagle Rd","Meridian","ID","83642","ADA, ID","Food_Beverage_Service","private",1,3200,340,0,"Small"
"412","2009","02","16001",1,16,"Center for Healing & Medicine @ Portico","Louise Ave","Meridian","ID","84362","ADA, ID","Clinics_Nursing_Convalescent_Facilities","private",0,0,180,0,"Small"
"413","2008","05","16001",1,16,"Retail Building (Alteration)","1330 Eagle Rd N","Meridian","ID","83642","ADA, ID","Stores","private",0,0,110,0,"Small"
"414","2008","07","16001",1,16,"Townhouse","549 S Archstone Wy","Boise","ID","","ADA, ID","Apartments_3_or_4_Units","private",1,2300,215,3,"Small"
"415","2008","01","16001",1,16,"Retail Building (Addition)","3301 W Cherry Ln","Meridian","ID","83642","ADA, ID","Stores","private",1,1500,92,0,"Small"
"416","2009","02","16001",1,16,"BSU- Remodel Housing Office in Chaffee Hall","Boise State University","Boise","ID","83701","ADA, ID","Dormitories","state",0,0,239,0,"Small"
"417","2009","01","16001",1,16,"NIFC Modular Office Building","3833 S Development Ave","Boise","ID","83705","ADA, ID","Offices_1-3_stories","federal",1,9800,774,0,"Small"
"418","2008","12","16001",1,16,"North Star Charter School - New K-12 School/Gym","830 N Linder Rd","Eagle","ID","83616","ADA, ID","Senior_High_Schools","private",1,76100,8000,0,"Large"
"419","2008","09","16001",1,16,"Selway Apartments (NEGOTIATED)","McMillian Rd","Meridian","ID","83642","ADA, ID","Apartments_5+_Units_1-3_Stories","private",3,186000,12000,171,"Large"
"420","2009","12","16001",1,16,"NIFC Information Systems Bldg 410A (Seismic Mitigation)","2399 W Robinson Rd","Boise","ID","83705","ADA, ID","Offices_1-3_stories","federal",0,0,295,0,"Small"
"421","2009","09","16001",1,16,"Smashburger at Portico (TI)","3223 Louise Dr","Meridian","ID","83642","ADA, ID","Food_Beverage_Service","private",0,0,150,0,"Small"
"422","2008","07","16001",1,16,"Dental Office Building","7911 W Ustick Rd","Boise","ID","83704","ADA, ID","Clinics_Nursing_Convalescent_Facilities","private",1,2700,140,0,"Small"
"423","2009","08","16001",1,16,"Warehouse","11514 W EXECUTIVE DR","Boise","ID","83713","ADA, ID","Warehouses_Non-Refrigerated","private",1,3900,97,0,"Small"
"424","2008","02","16001",1,16,"Costco Remodel (Boise ID) (NEGOTIATED)","2051 S Cole Rd","Boise","ID","83709","ADA, ID","Stores","private",0,0,300,0,"Small"
"425","2008","08","16001",1,16,"Office Building (Alteration)","3676 N Harbor Ln 100 Lot 6","Ada County","ID","","ADA, ID","Offices_1-3_stories","private",0,0,135,0,"Small"
"426","2008","08","16001",1,16,"Office Building (Alteration)","511 S Americana Blvd Lot 7","Ada County","ID","","ADA, ID","Offices_1-3_stories","private",0,0,120,0,"Small"
"427","2008","04","16001",1,16,"Tigard, OR Winco Food Store #23 (Remodel)","7500 Dartmouth Road","Boise","ID","83705","ADA, ID","Stores","private",0,0,300,0,"Small"
"428","2008","01","16001",1,16,"Office Building (Alteration)","3320 E Goldstone Wy","Meridian","ID","83642","ADA, ID","Offices_1-3_stories","private",0,0,138,0,"Small"
"429","2009","08","16001",1,16,"Communication Building (Alteration)","619 W Bannock St","Boise","ID","83702","ADA, ID","Communications_Buildings","private",0,0,385,0,"Small"
"430","2009","08","16001",1,16,"Retail Building (Alteration)","11514 W Executive Dr","Boise","ID","83713","ADA, ID","Stores","private",0,0,296,0,"Small"
"431","2008","08","16001",1,16,"Boise City Hall West (Tenant Improvements)","333 N Sailfish Pl","Boise","ID","83704","ADA, ID","Capitols_Court_Houses_City_Halls","county",0,0,2860,0,"Small"
"432","2008","06","16001",1,16,"Gowen Field - Building 518 Remodel","4715 S Byrd St","Boise","ID","83705","ADA, ID","Armories_Military_Buildings","federal",0,0,74,0,"Small"
"433","2008","05","16001",1,16,"Office Building","943 W. Overland Rd.","Meridian","ID","83642","ADA, ID","Offices_1-3_stories","private",3,31600,2500,0,"Medium"
"434","2008","09","16001",1,16,"Church-Alteration","936 Taylor Ave Ste 101","Meridian","ID","83642","ADA, ID","Houses_of_Worship_Other_Religious_Bldgs","private",0,0,225,0,"Small"
"435","2008","07","16001",1,16,"Auto Sales Building (Alteration)","1005 E Fairview Ave","Meridian","ID","83642","ADA, ID","Auto_Service","private",0,0,75,0,"Small"
"436","2008","08","16001",1,16,"Restaurant (Alteration)","1121 S Broadway Ave","Ada County","ID","","ADA, ID","Food_Beverage_Service","private",0,0,104,0,"Small"
"437","2008","05","16001",1,16,"Recreation Building (Alteration)","911 N Meridian Rd","Meridian","ID","83642","ADA, ID","Miscellaneous_Amusement_Recreational","private",0,0,493,0,"Small"
"438","2008","02","16001",1,16,"Office Building-Alteration","398 S 9th St","Boise","ID","83702","ADA, ID","Offices_1-3_stories","private",0,0,305,0,"Small"
"439","2008","10","16001",1,16,"Benjamin Campus Bldgs Remodel - Phase 2","400 N Benjamin Ln","Boise","ID","83704","ADA, ID","Warehouses_Non-Refrigerated","county",0,0,2350,0,"Small"
"440","2008","02","16001",1,16,"Office Building","10439 W Emerald ST","Boise","ID","","ADA, ID","Offices_1-3_stories","private",1,2500,200,0,"Small"
"441","2008","08","16001",1,16,"Office Building (Alteration)","802 W Bannock St 500","Ada County","ID","","ADA, ID","Offices_1-3_stories","private",0,0,75,0,"Small"
"442","2008","01","16001",1,16,"Office Building-Alteration","2250 S Vista Ave","Boise","ID","83705","ADA, ID","Offices_1-3_stories","private",0,0,275,0,"Small"
"443","2008","03","16001",1,16,"SuperValue Data Center (Expansion) (DESIGN/BUILD)","700 N Ancestor Pl","Boise","ID","83704","ADA, ID","Communications_Buildings","private",1,16600,2500,0,"Small"
"444","2009","08","16001",1,16,"Gowen Office/Shops/Self Storage Units for Perkins Const","200 E Gowen Rd","Boise","ID","83716","ADA, ID","Offices_1-3_stories","private",1,43000,2500,0,"Medium"
"445","2008","05","16001",1,16,"Fred Meyer #198 Meridian Idaho Remodel","1850 E Fairview Ave","Meridian","ID","83642","ADA, ID","Stores","private",0,0,2000,0,"Small"
"446","2008","10","16001",1,16,"Office Building (Alteration)","1310 W Main St","Boise","ID","83702","ADA, ID","Offices_1-3_stories","private",0,0,250,0,"Small"
"447","2008","01","16001",1,16,"Office Building (Alteration)","2200 E Warm Springs Ave","Ada County","ID","","ADA, ID","Offices_1-3_stories","private",0,0,109,0,"Small"
"448","2008","08","16001",1,16,"Office Building (Alteration)","13923 W Wainwright Dr Lot 3","Ada County","ID","","ADA, ID","Offices_1-3_stories","private",0,0,140,0,"Small"
"449","2008","06","16001",1,16,"Famous Daves Bar B Que","3510 N Eagle Rd","Meridian","ID","83680","ADA, ID","Food_Beverage_Service","private",1,28000,2350,0,"Medium"
"450","2008","07","16001",1,16,"Dutch Bros Coffee Warehouse/Office (NEGOTIATED)","5177 W Chinden Blvd","Garden City","ID","83714","ADA, ID","Warehouses_Non-Refrigerated","private",1,5300,300,0,"Small"
"451","2008","10","16001",1,16,"WinCo Office Expansion/Remodel (NEGOTIATED)","650 N Armstrong Pl","Boise","ID","83704","ADA, ID","Offices_1-3_stories","private",1,40800,5200,0,"Medium"
"452","2009","06","16001",1,16,"Whittier Elementary School - Relocated Portable Building","1609 S Owyhee St","Boise","ID","83705","ADA, ID","Primary_Schools","county",0,0,72,0,"Small"
"453","2008","10","16001",1,16,"Idaho State University Jabil Building","1311 East Central Drive","Meridian","ID","83642","ADA, ID","Colleges_Universities_Except_Community","state",0,0,8750,0,"Small"
"454","2008","11","16001",1,16,"Office Building/Warehouse (Alteration)","3604 S Banner Ave","Boise","ID","83709","ADA, ID","Warehouses_Non-Refrigerated","private",0,0,338,0,"Small"
"455","2008","02","16001",1,16,"Office Building (Alteration)","398 S 9th St 270","Boise","ID","83702","ADA, ID","Offices_1-3_stories","private",0,0,102,0,"Small"
"456","2008","02","16001",1,16,"Office Building-Alteration","506 S 11th St","Boise","ID","83702","ADA, ID","Offices_1-3_stories","private",0,0,200,0,"Small"
"457","2009","01","16001",1,16,"The North 36th St Live/Work Bldgs (NEGOTIATED)","3823 N 36th St","Boise","ID","83703","ADA, ID","Apartments_5+_Units_1-3_Stories","private",2,15000,1000,17,"Small"
"458","2008","03","16001",1,16,"Retail Building","586 & 534 N Locust Grove","Meridian","ID","83646","ADA, ID","Stores","private",1,2600,163,0,"Small"
"459","2009","03","16001",1,16,"Iggy's Sports Grill (NEGOTIATED)","2902 S Eagle Rd","Meridian","ID","83642","ADA, ID","Food_Beverage_Service","private",1,7800,1400,0,"Small"
"460","2008","08","16001",1,16,"Doctors Office (New)","742 W Cherry Ln","Meridian","ID","83642","ADA, ID","Clinics_Nursing_Convalescent_Facilities","private",1,9800,660,0,"Small"
"461","2008","03","16001",1,16,"Cherry Lane Christian Church (NEGOTIATED)","Ten Mile Road & Franklin","Meridian","ID","83642","ADA, ID","Houses_of_Worship_Other_Religious_Bldgs","private",2,205000,15000,0,"Large"
"462","2008","09","16001",1,16,"Boise ID Holiday Retirement Facility (NEGOTIATED)","4892 N Cloverdale Rd","Boise","ID","83713","ADA, ID","Clinics_Nursing_Convalescent_Facilities","private",3,105000,6000,0,"Large"
"463","2008","09","16001",1,16,"Industrial Administration Bldg Remodel/Replacement","317 W Main St","Boise","ID","83702","ADA, ID","Offices_1-3_stories","state",0,0,596,0,"Small"
"464","2009","02","16001",1,16,"The MEP Group Office ( Shell/Tenant Improvements)","234 S Whisperwood Ct","Boise","ID","83709","ADA, ID","Offices_1-3_stories","private",1,11600,915,0,"Small"
"465","2009","08","16001",1,16,"Bank","575 E Franklin Rd","Meridian","ID","83642","ADA, ID","Banks_Financial_1-3_stories","private",1,2800,355,0,"Small"
"466","2009","05","16001",1,16,"Whittier Elem School - Reroof & Structural Upgrades","302 N 29th St","Boise","ID","83702","ADA, ID","Primary_Schools","county",0,0,247,0,"Small"
"467","2008","11","16001",1,16,"Office Building (Alteration)","1161 W River St Ste 340","Boise","ID","83702","ADA, ID","Offices_1-3_stories","private",0,0,254,0,"Small"
"468","2008","10","16001",1,16,"The North 36th St Townhomes/Garages (NEGOTIATED)","3823 N 36th St","Boise","ID","83703","ADA, ID","Apartments_5+_Units_1-3_Stories","private",2,26000,1500,29,"Medium"
"469","2008","11","16001",1,16,"Avimor Recreation Bldg","18700 N Horshoe Bend Rd","Boise","ID","83714","ADA, ID","Miscellaneous_Amusement_Recreational","private",1,12000,1320,0,"Small"
"470","2008","02","16001",1,16,"Boise Airport Conference Room & K-9 Unit Tenant Improve","3201 Airport Way","Boise","ID","83705","ADA, ID","Airline_Terminals","county",0,0,93,0,"Small"
"471","2008","10","16001",1,16,"Chinden/Five Mile LDS Church","6032 N Five Mile Road","Boise","ID","83707","ADA, ID","Houses_of_Worship_Other_Religious_Bldgs","private",1,15600,2312,0,"Small"
"472","2008","04","16001",1,16,"Retail Building","3240 E Louise Dr","Meridian","ID","83642","ADA, ID","Stores","private",1,4900,307,0,"Small"
"473","2009","11","16001",1,16,"Grace Memory Care Center (NEGOTIATED)","Allumbaugh St","Boise","ID","83704","ADA, ID","Clinics_Nursing_Convalescent_Facilities","private",2,50000,4000,0,"Medium"
"474","2008","07","16001",1,16,"Bed, Bath & Beyond","1350 N Eagle Rd","Meridian","ID","83642","ADA, ID","Stores","private",1,6800,500,0,"Small"
"475","2008","01","16001",1,16,"Office Building","2200 E Warm Springs Ave","Ada County","ID","","ADA, ID","Offices_1-3_stories","private",1,1800,109,0,"Small"
"476","2009","04","16001",1,16,"Center for Environmental Science & Economic Development","Boise State University","Boise","ID","83720","ADA, ID","Colleges_Universities_Except_Community","state",5,97000,18599,0,"Large"
"477","2008","01","16001",1,16,"Retail Building (Alteration)","20 E Fairview Ave","Meridian","ID","83642","ADA, ID","Stores","private",0,0,92,0,"Small"
"478","2008","01","16001",1,16,"Office Building (Alteration)","1965 S Eagle Rd Ste 140","Meridian","ID","83642","ADA, ID","Offices_1-3_stories","private",0,0,86,0,"Small"
"479","2008","02","16001",1,16,"Office Building-Alteration","4719 Market St","Boise","ID","83705","ADA, ID","Offices_1-3_stories","private",0,0,402,0,"Small"
"480","2008","09","16001",1,16,"Forever 21 Store","350 N Milwaukee St","Boise","ID","83704","ADA, ID","Stores","private",0,0,963,0,"Small"
"481","2009","07","16001",1,16,"Social Hall/Events Center (Remodel)","7311 Potomac Dr","Boise","ID","83704","ADA, ID","Clubs_and_Lodges","private",0,0,400,0,"Small"
"482","2009","04","16001",1,16,"Hillside Junior High School Locker Room Addition","3536 Hill Rd","Boise","ID","83703","ADA, ID","Senior_High_Schools","county",0,0,693,0,"Small"
"483","2009","02","16001",1,16,"The MEP Group Office ( Shell/Tenant Improvements)","234 S Whisperwood Ct","Boise","ID","83709","ADA, ID","Offices_1-3_stories","private",0,0,380,0,"Small"
"484","2008","06","16001",1,16,"Ten Mile Community Church (NEGOTIATED)","3500 W Frankl; in Rd","Boise","ID","83702","ADA, ID","Houses_of_Worship_Other_Religious_Bldgs","private",2,37000,4625,0,"Medium"
"485","2008","05","16001",1,16,"Retail Building","5012 W Emerald St","Boise","ID","83706","ADA, ID","Stores","private",1,2400,75,0,"Small"
"486","2008","03","16001",1,16,"Retail Building","3230 N Eagle Rd","Meridian","ID","83642","ADA, ID","Stores","private",1,2600,163,0,"Small"
"487","2008","08","16001",1,16,"Office Building (Alteration)","8455 W Emerald St Lot 1","Ada County","ID","","ADA, ID","Offices_1-3_stories","private",0,0,125,0,"Small"
"488","2008","02","16001",1,16,"Office Building (Alteration)","4806 W Emerald St","Boise","ID","83706","ADA, ID","Offices_1-3_stories","private",0,0,90,0,"Small"
"489","2008","10","16001",1,16,"Restaurant (Alteration) Chronic Tacos","3240 E Louise Dr Ste 110","Meridian","ID","83642","ADA, ID","Food_Beverage_Service","private",0,0,135,0,"Small"
